Ano,Municipio,TOTAL DE VITIMAS,IDADE,Total CVP,TOTAL DE ENVOLVIDOS,1º série_matrículas,2º série_matrículas,3º série_matrículas,4º série_matrículas,Anos finais_docentes,Anos finais_escolas,Anos iniciais_docentes,Anos iniciais_escolas,Creche_docentes,Creche_escolas,Creche_matrículas,Ensino fundamental_docentes,Ensino fundamental_escolas,Ensino fundamental_matrículas,Ensino infantil_docentes,Ensino infantil_escolas,Ensino infantil_matrículas,Ensino médio_docentes,Ensino médio_escolas,Ensino médio_matrículas,Estadual_docentes,Estadual_escolas,Estadual_matrículas,Federal_docentes,Federal_escolas,Federal_matrículas,Municipal_docentes,Municipal_escolas,Municipal_matrículas,Não seriada_matrículas,Privado_docentes,Privado_escolas,Privado_matrículas,Pré-escolar_docentes,Pré-escolar_escolas,Pré-escolar_matrículas,IDEB
2015,brejo da madre de deus,40,26.475,179,68,442.0,316.0,293.0,0.0,182.0,8.0,224.0,50.0,57.0,24.0,862.0,385.0,52.0,7404.0,115.0,46.0,2137.0,54.0,2.0,1051.0,0.0,0.0,348.0,0.0,0.0,0.0,114.5,28.0,764.7272727272727,0.0,17.0,4.0,87.38461538461539,60.0,46.0,1275.0,4.4
2015,buenos aires,3,25.0,29,26,130.0,185.0,173.0,0.0,54.0,4.0,50.0,17.0,13.0,12.0,239.0,102.0,19.0,1853.0,35.0,14.0,651.0,30.0,2.0,488.0,25.0,2.0,133.0,0.0,0.0,0.0,22.0,9.25,161.0,0.0,9.333333333333334,2.6666666666666665,41.42857142857143,22.0,14.0,412.0,4.0
2015,cabo de santo agostinho,159,27.81761006289308,2517,904,3632.0,2947.0,2621.0,0.0,559.0,48.0,643.0,115.0,136.0,38.0,1416.0,1171.0,124.0,30429.0,410.0,120.0,6049.0,382.0,19.0,9200.0,32.0,2.5,828.6666666666666,0.0,0.0,0.0,296.25,56.5,2469.5454545454545,0.0,97.75,20.75,612.0714285714286,287.0,113.0,4633.0,4.833333333333333
2015,cachoeirinha,5,26.8,80,30,230.0,144.0,128.0,0.0,57.0,6.0,78.0,13.0,6.0,3.0,87.0,129.0,14.0,2982.0,32.0,13.0,679.0,17.0,1.0,502.0,24.0,1.0,184.28571428571428,0.0,0.0,0.0,24.75,5.75,192.27272727272728,0.0,12.25,2.75,68.9090909090909,27.0,13.0,592.0,4.6000000000000005
2015,camaragibe,46,25.782608695652176,1670,479,2965.0,2280.0,1928.0,66.0,578.0,38.0,455.0,65.0,54.0,32.0,895.0,984.0,81.0,20388.0,188.0,55.0,3647.0,499.0,26.0,7239.0,206.0,12.0,1229.1666666666667,0.0,0.0,0.0,108.33333333333333,20.333333333333332,1116.5714285714287,0.0,123.25,26.0,622.0,136.0,54.0,2752.0,4.7
2015,camutanga,2,42.0,39,6,129.0,86.0,71.0,0.0,31.0,2.0,48.0,13.0,14.0,4.0,148.0,79.0,15.0,1629.0,26.0,12.0,474.0,13.0,1.0,286.0,8.0,1.0,82.5,0.0,0.0,0.0,18.25,5.25,133.0909090909091,0.0,10.666666666666666,3.0,85.0,15.0,12.0,326.0,4.1
2015,canhotinho,15,30.0,60,22,212.0,192.0,127.0,0.0,96.0,6.0,99.0,30.0,21.0,18.0,190.0,191.0,31.0,3737.0,51.0,24.0,784.0,32.0,2.0,531.0,13.0,1.0,127.5,0.0,0.0,0.0,56.75,17.75,355.90909090909093,0.0,7.333333333333333,2.0,53.142857142857146,41.0,24.0,594.0,3.75
2015,capoeiras,13,33.38461538461539,23,26,285.0,305.0,249.0,0.0,76.0,5.0,71.0,29.0,12.0,3.0,204.0,143.0,29.0,2935.0,35.0,30.0,740.0,32.0,1.0,839.0,0.0,0.0,279.6666666666667,0.0,0.0,0.0,43.25,16.0,324.54545454545456,0.0,4.5,1.0,17.5,23.0,29.0,536.0,5.0
2015,carpina,40,27.575,651,257,1374.0,1119.0,838.0,0.0,324.0,27.0,316.0,50.0,81.0,42.0,1157.0,587.0,57.0,10797.0,210.0,46.0,3191.0,203.0,12.0,3331.0,54.0,4.0,633.375,0.0,0.0,0.0,88.25,13.0,612.7272727272727,0.0,105.0,26.25,393.7142857142857,132.0,46.0,2034.0,4.533333333333334
2015,caruaru,190,29.04736842105263,5009,1784,5212.0,4013.0,3462.0,0.0,1086.0,78.0,950.0,192.0,158.0,71.0,2827.0,1916.0,208.0,48173.0,483.0,150.0,10055.0,627.0,33.0,13039.0,111.5,8.5,1347.1818181818182,0.0,0.0,319.0,328.25,58.75,2986.0,352.0,274.25,59.5,1663.0714285714287,347.0,149.0,7228.0,4.433333333333334
